Channel	Created at	Product	Issue	Type	Handled
Waggle Assist(Web)	2026-01-11	PM	Subscription Activation		Human
Scooby(Mobile)	2026-01-11	PM	Subscription Cancellaiton		Human
Waggle Assist(Web)	2026-01-11				Bot
Waggle Assist(Web)	2026-01-11				Bot
Scooby(Mobile)	2026-01-11	4g Mini Cam	Login Issue		Human
Waggle Assist(Web)	2026-01-11				Bot
Scooby(Mobile)	2026-01-11				Bot
Waggle Assist(Web)	2026-01-11				Bot
Scooby(Mobile)	2026-01-11				Bot
Waggle Assist(Web)	2026-01-11				Bot
Scooby(Mobile)	2026-01-11				Bot
Scooby(Mobile)	2026-01-11				Bot
Waggle Assist(Web)	2026-01-11				Bot
Scooby(Mobile)	2026-01-11				Bot
Scooby(Mobile)	2026-01-11				Bot
Waggle Assist(Web)	2026-01-11				Bot
Scooby(Mobile)	2026-01-11				Bot
Waggle Assist(Web)	2026-01-11				Bot
Scooby(Mobile)	2026-01-11				Bot
Waggle Assist(Web)	2026-01-11				Bot
Scooby(Mobile)	2026-01-11	RV Mini Cam	Subscription Activation		Human
Waggle Assist(Web)	2026-01-11	4g Mini Cam	Presales		Human
Waggle Assist(Web)	2026-01-11				Bot
Scooby(Mobile)	2026-01-12	PM	Subscription Cancellaiton		Human
Scooby(Mobile)	2026-01-12				Bot
Waggle Assist(Web)	2026-01-12				Bot
Scooby(Mobile)	2026-01-12	PM	Accessories		Human
Waggle Assist(Web)	2026-01-12				Bot
Scooby(Mobile)	2026-01-12				Bot
Scooby(Mobile)	2026-01-12	RV Mini Cam	Connection		Human
Scooby(Mobile)	2026-01-12	Waggle Cam Pro	Squeaky Sound		Human
Scooby(Mobile)	2026-01-12				Bot
Waggle Assist(Web)	2026-01-12				Bot
Scooby(Mobile)	2026-01-12	RV Mini Cam	Connection		Human
Scooby(Mobile)	2026-01-12				Bot
Waggle Assist(Web)	2026-01-12				Bot
Scooby(Mobile)	2026-01-12	PM	Temp Issue		Human
Waggle Assist(Web)	2026-01-12				Bot
Waggle Assist(Web)	2026-01-12				Bot
Scooby(Mobile)	2026-01-12				Bot
Scooby(Mobile)	2026-01-12	4g Mini Cam	Subscription Activation - Combo		Human
Waggle Assist(Web)	2026-01-12	PM	Turning On		Human
Scooby(Mobile)	2026-01-12				Bot
Waggle Assist(Web)	2026-01-12				Bot
Waggle Assist(Web)	2026-01-12				Bot
Scooby(Mobile)	2026-01-12				Bot
Waggle Assist(Web)	2026-01-12				Bot
Scooby(Mobile)	2026-01-12	PM	Replcement Set Up		Human
Scooby(Mobile)	2026-01-12				Bot
Waggle Assist(Web)	2026-01-12	RV Mini Cam	Connection		Human
Waggle Assist(Web)	2026-01-12				Bot
Scooby(Mobile)	2026-01-12				Bot
Scooby(Mobile)	2026-01-13	PM	DNR		Human
Scooby(Mobile)	2026-01-13				Bot
Scooby(Mobile)	2026-01-13				Bot
Scooby(Mobile)	2026-01-13	RV Mini Cam	Connection		Human
Waggle Assist(Web)	2026-01-13	PM	Presales		Human
Scooby(Mobile)	2026-01-13				Bot
Scooby(Mobile)	2026-01-13				Bot
Waggle Assist(Web)	2026-01-13				Bot
Waggle Assist(Web)	2026-01-13	PM	Tech Query 		Human
Scooby(Mobile)	2026-01-13	RV Mini Cam	Connection		Human
Scooby(Mobile)	2026-01-13				Bot
Scooby(Mobile)	2026-01-13				Bot
Scooby(Mobile)	2026-01-13				Bot
Scooby(Mobile)	2026-01-13	Waggel Cam Pro	Connection		Human
Scooby(Mobile)	2026-01-13				Bot
Scooby(Mobile)	2026-01-13	PM	Login Issue		Human
Waggle Assist(Web)	2026-01-13	PM	Profile - Dog Breed		Human
Scooby(Mobile)	2026-01-13				Bot
Scooby(Mobile)	2026-01-13	PM	Subscription Activation		Human
Scooby(Mobile)	2026-01-13	PM	Subscription Activation		Human
Scooby(Mobile)	2026-01-13				Bot
Scooby(Mobile)	2026-01-13	4g camera	Presales		Human
Waggle Assist(Web)	2026-01-14	PM	Subscription Cancellaiton		Human
Scooby(Mobile)	2026-01-14	PM	DNR		Human
Waggle Assist(Web)	2026-01-14				Bot
Scooby(Mobile)	2026-01-14				Bot
Scooby(Mobile)	2026-01-14	PM	Registration Issue		Human
Waggle Assist(Web)	2026-01-14	PM	DNR		Human
Scooby(Mobile)	2026-01-14				Bot
Scooby(Mobile)	2026-01-14	PM	DNR		Human
Scooby(Mobile)	2026-01-14	RV Mini Cam	Connection		Human
Waggle Assist(Web)	2026-01-14				Bot
Scooby(Mobile)	2026-01-14				Bot
Waggle Assist(Web)	2026-01-14	4g Mini Cam	Subscription Activation		Human
Scooby(Mobile)	2026-01-14				Bot
Scooby(Mobile)	2026-01-14				Bot
Scooby(Mobile)	2026-01-14	PM	DNR		Human
Scooby(Mobile)	2026-01-14				Bot
Scooby(Mobile)	2026-01-14				Bot
Scooby(Mobile)	2026-01-15	PM	DNR		Human
Waggle Assist(Web)	2026-01-15				Bot
Waggle Assist(Web)	2026-01-15	4g camera	Connection		Human
Waggle Assist(Web)	2026-01-15	PM	Presales		Human
Scooby(Mobile)	2026-01-15				Bot
Waggle Assist(Web)	2026-01-15	PM	Battery Issue		Human
Waggle Assist(Web)	2026-01-15				Bot
Scooby(Mobile)	2026-01-15	Waggle Cam Pro	Connection		Human
Waggle Assist(Web)	2026-01-15	RV Mini Cam	Tech Query 		Human
Waggle Assist(Web)	2026-01-15	PM	Subscription query		Human
Waggle Assist(Web)	2026-01-15	PM	Subscription Activation		Human
Waggle Assist(Web)	2026-01-15	Waggel Insurance	Waggel Insurance		Human
Scooby(Mobile)	2026-01-15				Bot
Waggle Assist(Web)	2026-01-15	PM	Subscription Activation		Human
Scooby(Mobile)	2026-01-15	PM	DNR		Human
Scooby(Mobile)	2026-01-15	4g Mini Cam	Connection		Human
Scooby(Mobile)	2026-01-15				Bot
Scooby(Mobile)	2026-01-15	PM	DNR		Human
Scooby(Mobile)	2026-01-15	PM	Subscription Mapping Issue		Human
Scooby(Mobile)	2026-01-15	4g Mini Cam	Noise Issue		Human
Scooby(Mobile)	2026-01-16				Bot
Scooby(Mobile)	2026-01-16	NA	No Reason		Human
Waggle Assist(Web)	2026-01-16				Bot
Scooby(Mobile)	2026-01-16	PM	DNR		Human
Scooby(Mobile)	2026-01-16	RV Mini Cam	Multiple Login		Human
Waggle Assist(Web)	2026-01-16	4g Mini Cam	Connection		Human
Waggle Assist(Web)	2026-01-16	4g camera	Return & refund		Human
Scooby(Mobile)	2026-01-16				Bot
Scooby(Mobile)	2026-01-16	Waggle Cam Pro	Subscription query		Human
Waggle Assist(Web)	2026-01-16				Bot
Waggle Assist(Web)	2026-01-16	PM	Subscription Activation		Human
Waggle Assist(Web)	2026-01-16				Bot
Scooby(Mobile)	2026-01-16	PM	DNR		Human
Scooby(Mobile)	2026-01-16				Bot
Waggle Assist(Web)	2026-01-16				Bot
Waggle Assist(Web)	2026-01-16				Bot
Scooby(Mobile)	2026-01-16				Bot
Scooby(Mobile)	2026-01-16	4g Mini Cam	Connection		Human
Waggle Assist(Web)	2026-01-16				Bot
Scooby(Mobile)	2026-01-16				Bot
Scooby(Mobile)	2026-01-16				Bot
Waggle Assist(Web)	2026-01-16				Bot
Scooby(Mobile)	2026-01-16				Bot
Waggle Assist(Web)	2026-01-16				Bot
Waggle Assist(Web)	2026-01-16	4g Mini Cam	Battery Issue		Human
Waggle Assist(Web)	2026-01-16				Bot
Waggle Assist(Web)	2026-01-16				Bot
Scooby(Mobile)	2026-01-16	PM	DNR		Human
Waggle Assist(Web)	2026-01-16	PM	Subscription Cancellaiton		Human
Scooby(Mobile)	2026-01-16				Bot
Waggle Assist(Web)	2026-01-16				Bot
Scooby(Mobile)	2026-01-16	4g Mini Cam	App Navigation		Human
Scooby(Mobile)	2026-01-16	PM	DNR		Human
Waggle Assist(Web)	2026-01-16				Bot
Scooby(Mobile)	2026-01-16				Bot
Scooby(Mobile)	2026-01-16	4g Mini Cam	Subscription Mapping Issue		Human
Scooby(Mobile)	2026-01-16				Bot
Waggle Assist(Web)	2026-01-16				Bot
Waggle Assist(Web)	2026-01-16				Bot
Waggle Assist(Web)	2026-01-16				Bot
Waggle Assist(Web)	2026-01-16				Bot
Scooby(Mobile)	2026-01-16				Bot
Waggle Assist(Web)	2026-01-16				Bot
Scooby(Mobile)	2026-01-16				Bot
Scooby(Mobile)	2026-01-17				Bot
Waggle Assist(Web)	2026-01-17				Bot
Scooby(Mobile)	2026-01-17				Bot
Scooby(Mobile)	2026-01-17				Bot
Waggle Assist(Web)	2026-01-17				Bot
Scooby(Mobile)	2026-01-17	PM	DNR		Human
Scooby(Mobile)	2026-01-17				Bot
Scooby(Mobile)	2026-01-17	PM	Subscription Activation		Human
Waggle Assist(Web)	2026-01-17	4g Mini Cam	Tech Query 		Human
Waggle Assist(Web)	2026-01-17				Bot
Scooby(Mobile)	2026-01-17				Bot
Scooby(Mobile)	2026-01-17				Bot
Waggle Assist(Web)	2026-01-17				Bot
Scooby(Mobile)	2026-01-17				Bot
Waggle Assist(Web)	2026-01-17				Bot
Scooby(Mobile)	2026-01-17				Bot
Scooby(Mobile)	2026-01-17				Bot
Waggle Assist(Web)	2026-01-17				Bot
Scooby(Mobile)	2026-01-17				Bot
Scooby(Mobile)	2026-01-17				Bot
Scooby(Mobile)	2026-01-17	PM	DNR		Human
Waggle Assist(Web)	2026-01-17	4g camera	Presales		Human
Scooby(Mobile)	2026-01-17	RV Mini Cam	Connection		Human
Scooby(Mobile)	2026-01-17				Bot
Waggle Assist(Web)	2026-01-17				Bot
Scooby(Mobile)	2026-01-17				Bot
Scooby(Mobile)	2026-01-17				Bot
Waggle Assist(Web)	2026-01-17				Bot
Scooby(Mobile)	2026-01-17	PM	App Issue		Human
Scooby(Mobile)	2026-01-17	PM	Registration Issue		Human
Scooby(Mobile)	2026-01-17				Bot
Waggle Assist(Web)	2026-01-17				Bot
Waggle Assist(Web)	2026-01-17				Bot
Waggle Assist(Web)	2026-01-17	PM	Subscription Cancellaiton		Human
Waggle Assist(Web)	2026-01-18				Bot
Waggle Assist(Web)	2026-01-18	PM	Referral Query		Human
Waggle Assist(Web)	2026-01-18				Bot
Scooby(Mobile)	2026-01-18				Bot
Waggle Assist(Web)	2026-01-18				Bot
Waggle Assist(Web)	2026-01-18				Bot
Waggle Assist(Web)	2026-01-18	PM	Subscription Cancellaiton		Human
Scooby(Mobile)	2026-01-18				Bot
Scooby(Mobile)	2026-01-18				Bot
Waggle Assist(Web)	2026-01-18				Bot
Waggle Assist(Web)	2026-01-18	PM	Tech Query 		Human
Waggle Assist(Web)	2026-01-18				Bot
Waggle Assist(Web)	2026-01-18	PM	Subscription Cancellaiton		Human
Waggle Assist(Web)	2026-01-18				Bot
Scooby(Mobile)	2026-01-18				Bot
Waggle Assist(Web)	2026-01-18	Waggle Cam Pro	Device Removal		Human
Scooby(Mobile)	2026-01-18	PM	Subscription Activation - Combo		Human
Waggle Assist(Web)	2026-01-18	PM	Accessories		Human
Scooby(Mobile)	2026-01-18				Bot
Scooby(Mobile)	2026-01-18				Bot
Waggle Assist(Web)	2026-01-18				Bot
Waggle Assist(Web)	2026-01-18				Bot
Scooby(Mobile)	2026-01-18	PM	DNR		Human
Scooby(Mobile)	2026-01-18				Bot
Scooby(Mobile)	2026-01-18				Bot
Waggle Assist(Web)	2026-01-18				Bot
Waggle Assist(Web)	2026-01-18	4g Mini Cam	Tech Query 		Human
Scooby(Mobile)	2026-01-18				Bot
Scooby(Mobile)	2026-01-19	4g Mini Cam	Set Up		Human
Scooby(Mobile)	2026-01-19	4g Mini Cam	Registration Issue		Human
Waggle Assist(Web)	2026-01-19				Bot
Scooby(Mobile)	2026-01-19				Bot
Scooby(Mobile)	2026-01-19				Bot
Waggle Assist(Web)	2026-01-19				Bot
Scooby(Mobile)	2026-01-19	PM	DNR		Human
Waggle Assist(Web)	2026-01-19	PM	Device Query		Human
Scooby(Mobile)	2026-01-19				Bot
Scooby(Mobile)	2026-01-19				Bot
Scooby(Mobile)	2026-01-19				Bot
Waggle Assist(Web)	2026-01-19				Bot
Waggle Assist(Web)	2026-01-19	PM	Accessories		Human
Scooby(Mobile)	2026-01-19				Bot
Waggle Assist(Web)	2026-01-19				Bot
Waggle Assist(Web)	2026-01-19				Bot
Waggle Assist(Web)	2026-01-19				Bot
Scooby(Mobile)	2026-01-19				Bot
Scooby(Mobile)	2026-01-19	PM	Subscription Cancellaiton		Human
Scooby(Mobile)	2026-01-19				Bot
Scooby(Mobile)	2026-01-19	NA	No Reason		Human
Scooby(Mobile)	2026-01-19				Bot
Scooby(Mobile)	2026-01-19				Bot
Waggle Assist(Web)	2026-01-19				Bot
Scooby(Mobile)	2026-01-19	RV Mini Cam	Device Query		Human
